"article_title","lang","chunk_id","total_chunks","narrative_progress","top_label","confidence","sentiment_value","snippet","study_scope","geopolitical_bloc","weighted_sentiment"
"1948 Palestine war","en",1,48,0.0208333333333333,"neutral",0.48046800494194,-0.29326007515192,"The 1948 Palestine war (30 November 1947 – 10 Marc","Cały konflikt (1947-1949)","Zachód",-0.29326007515192
"1948 Palestine war","en",2,48,0.0416666666666667,"negative",0.496024936437607,-0.388177692890167,"It was the first war of the Israeli–Palestinian co","Cały konflikt (1947-1949)","Zachód",-0.388177692890167
"1948 Palestine war","en",3,48,0.0625,"negative",0.643299281597137,-0.579188607633114,"The following morning, the surrounding Arab armies","Cały konflikt (1947-1949)","Zachód",-0.579188607633114
"1948 Palestine war","en",4,48,0.0833333333333333,"negative",0.506070911884308,-0.406945526599884,"Following the Arab defeat in the war, hundreds of ","Cały konflikt (1947-1949)","Zachód",-0.406945526599884
"1948 Palestine war","en",5,48,0.104166666666667,"negative",0.612197935581207,-0.511149644851685,"They were driven both by the Zionist idea and by t","Cały konflikt (1947-1949)","Zachód",-0.511149644851685
"1948 Palestine war","en",6,48,0.125,"negative",0.608223557472229,-0.525111272931099,"Until the 1910s, Zionists encountered little viole","Cały konflikt (1947-1949)","Zachód",-0.525111272931099
"1948 Palestine war","en",7,48,0.145833333333333,"negative",0.483403652906418,-0.350796774029732,"They were assisted by the Arab tribes in Hejaz, le","Cały konflikt (1947-1949)","Zachód",-0.350796774029732
"1948 Palestine war","en",8,48,0.166666666666667,"negative",0.556644380092621,-0.446751110255718,"=== Early years of the British Mandate === After W","Cały konflikt (1947-1949)","Zachód",-0.446751110255718
"1948 Palestine war","en",9,48,0.1875,"negative",0.688813328742981,-0.616499803960323,"The Zionist leaders intermittently attempted to re","Cały konflikt (1947-1949)","Zachód",-0.616499803960323
"1948 Palestine war","en",10,48,0.208333333333333,"negative",0.465011119842529,-0.319540962576866,"Among these attacks was the 1946 King David Hotel ","Cały konflikt (1947-1949)","Zachód",-0.319540962576866
"1948 Palestine war","en",11,48,0.229166666666667,"negative",0.457670360803604,-0.348514124751091,"Iraq and Transjordan coordinated closely, signing ","Cały konflikt (1947-1949)","Zachód",-0.348514124751091
"1948 Palestine war","en",12,48,0.25,"neutral",0.444446235895157,-0.274819672107697,"Each state would comprise three major sections; th","Cały konflikt (1947-1949)","Zachód",-0.274819672107697
"1948 Palestine war","en",13,48,0.270833333333333,"negative",0.658267617225647,-0.574628122150898,"The representatives of the Palestinian Arabs and t","Cały konflikt (1947-1949)","Zachód",-0.574628122150898
"1948 Palestine war","en",14,48,0.291666666666667,"negative",0.619320094585419,-0.555813498795033,"The sanguinary impasse persisted as no force inter","Cały konflikt (1947-1949)","Zachód",-0.555813498795033
"1948 Palestine war","en",15,48,0.3125,"negative",0.502892971038818,-0.35167832672596,"A number of Arab Liberation Army regiments infiltr","Cały konflikt (1947-1949)","Zachód",-0.35167832672596
"1948 Palestine war","en",16,48,0.333333333333333,"negative",0.526296019554138,-0.41237461566925,"This caused the US to withdraw its support for the","Cały konflikt (1947-1949)","Zachód",-0.41237461566925
"1948 Palestine war","en",17,48,0.354166666666667,"negative",0.631492376327515,-0.525631159543991,"The first operation, Nachshon, was directed at lif","Cały konflikt (1947-1949)","Zachód",-0.525631159543991
"1948 Palestine war","en",18,48,0.375,"negative",0.648122847080231,-0.559826418757439,"The Hadassah medical convoy massacre was conducted","Cały konflikt (1947-1949)","Zachód",-0.559826418757439
"1948 Palestine war","en",19,48,0.395833333333333,"negative",0.452712178230286,-0.287191420793533,"However Abdullah did not intend to create a Palest","Cały konflikt (1947-1949)","Zachód",-0.287191420793533
"1948 Palestine war","en",20,48,0.416666666666667,"negative",0.588958382606506,-0.514827944338322,"On 14 May 1948, the day before the expiration of t","Cały konflikt (1947-1949)","Zachód",-0.514827944338322
"1948 Palestine war","en",21,48,0.4375,"negative",0.513401687145233,-0.392126105725765,"They were supported by the Arab Liberation Army an","Cały konflikt (1947-1949)","Zachód",-0.392126105725765
"1948 Palestine war","en",22,48,0.458333333333333,"negative",0.599152803421021,-0.493182189762592,"An arms embargo was declared with the intention th","Cały konflikt (1947-1949)","Zachód",-0.493182189762592
"1948 Palestine war","en",23,48,0.479166666666667,"negative",0.512283384799957,-0.368033930659294,"As well as violating the arms and personnel embarg","Cały konflikt (1947-1949)","Zachód",-0.368033930659294
"1948 Palestine war","en",24,48,0.5,"negative",0.503377914428711,-0.340859800577164,"The fighting was dominated by large-scale Israeli ","Cały konflikt (1947-1949)","Zachód",-0.340859800577164
"1948 Palestine war","en",25,48,0.520833333333333,"negative",0.567199885845184,-0.438575208187103,"With smuggled Boeing B-17 Flying Fortress planes a","Cały konflikt (1947-1949)","Zachód",-0.438575208187103
"1948 Palestine war","en",26,48,0.541666666666667,"negative",0.452361613512039,-0.229342743754387,"The operation was a success, shattering the Egypti","Cały konflikt (1947-1949)","Zachód",-0.229342743754387
"1948 Palestine war","en",27,48,0.5625,"negative",0.497982382774353,-0.352832898497581,"The IDF demanded the ALA's withdrawal from the cap","Cały konflikt (1947-1949)","Zachód",-0.352832898497581
"1948 Palestine war","en",28,48,0.583333333333333,"negative",0.408523440361023,-0.205240741372108,"The Egyptian government announced on 6 January 194","Cały konflikt (1947-1949)","Zachód",-0.205240741372108
"1948 Palestine war","en",29,48,0.604166666666667,"negative",0.477892518043518,-0.383282817900181,"The armistice lines saw Israel holding about 78% o","Cały konflikt (1947-1949)","Zachód",-0.383282817900181
"1948 Palestine war","en",30,48,0.625,"negative",0.49481612443924,-0.414850138127804,"Given that the first half of the war involved host","Cały konflikt (1947-1949)","Zachód",-0.414850138127804
